id,form,meaning,type,etymology
83,上,"used in 上聲|上声[shang3 sheng1]",ideographic,"One stroke on top of another; compare 下 (below)"
84,上,"(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above",ideographic,"One stroke on top of another; compare 下 (below)"
85,下,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",ideographic,"One stroke under another; compare 上 (above)"
86,丌,"surname Ji",pictographic,"A table"
87,丌,"""pedestal"" component in Chinese characters",pictographic,"A table"
88,丌,"archaic variant of 其[qi2]",pictographic,"A table"
89,不,"no; not so; (bound form) not; un-",ideographic,"A bird flying toward the sky 一"
90,丏,"hidden from view; barrier to ward off arrows",,
91,丐,"to beg for alms; beggar",pictographic,"A person leaning forward to ask for help"
92,丑,"surname Chou",,
93,丑,"clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°",,
94,且,"and; moreover; yet; for the time being; to be about to; both (... and...)",pictographic,"A stone altar"
95,丕,"grand",,
96,世,"surname Shi",pictographic,"Three leaves on a branch"
97,世,"life; age; generation; era; world; lifetime; epoch; descendant; noble",pictographic,"Three leaves on a branch"
98,丘,"surname Qiu",pictographic,"Two hills"
99,丘,"mound; hillock; grave; classifier for fields",pictographic,"Two hills"
100,丙,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; ancient Chinese compass point: 165°; propyl",,
101,丞,"deputy",pictophonetic,"one"
102,丢,"to lose; to put aside; to throw",ideographic,"A lost 厶 jade 玉"
103,并,"and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge",ideographic,"Simplified form of 並; two men standing side-by-side"
104,丨,"radical in Chinese characters (Kangxi radical 2)",,
105,丨,"vertical stroke (in Chinese characters), referred to as 豎筆|竖笔[shu4 bi3]",,
106,丩,"archaic variant of 糾|纠[jiu1]",,
107,丫,"fork; branch; bifurcation; girl",ideographic,"A forked line 丨"
108,中,"(bound form) China; Chinese; surname Zhong",ideographic,"A line 丨 through the center of a box 口"
109,中,"within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right",ideographic,"A line 丨 through the center of a box 口"
110,中,"to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery)",ideographic,"A line 丨 through the center of a box 口"
111,丰,"luxuriant; buxom; variant of 豐|丰[feng1]; variant of 風|风[feng1]; appearance; charm",pictographic,"An ear of grass"
112,丱,"two tufts of hair; young; underage",pictographic,"Two braids 丱 of hair"
113,丱,"archaic variant of 礦|矿[kuang4]",pictographic,"Two braids 丱 of hair"
114,串,"to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across",ideographic,"Two objects 口 strung 丨 together"
115,丵,"thick grass; ""bush"" component in Chinese characters",,
116,丶,"""dot"" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]",,
117,丷,"""eight"" component in Chinese characters; archaic variant of 八[ba1]",,
118,丸,"ball; pellet; pill",pictographic,"A fist 九 holding a pebble 丶"
119,丹,"red; pellet; powder; cinnabar",ideographic,"A red pellet 丶 from a mine 井"
120,主,"owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games)",pictographic,"A lamp 王 with a flame 丶"
121,丿,"radical in Chinese characters (Kangxi radical 4), aka 撇[pie3]",,
122,乂,"to regulate; to govern; to control; to mow",ideographic,"Shears, for cultivating a garden"
123,乃,"to be; thus; so; therefore; then; only; thereupon",ideographic,"A pregnant woman; compare 孕"
124,久,"(long) time; (long) duration of time",,
125,乇,"archaic variant of 托[tuo1]",,
126,乇,"""blade of grass"" component in Chinese characters",,
127,幺,"surname Yao",,
128,幺,"youngest; most junior; tiny; one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military); one or ace on dice or dominoes; variant of 吆[yao1], to shout",,
129,之,"(possessive particle, literary equivalent of 的[de5]); him; her; it",ideographic,"A foot meaning ""to follow""; cursive version of 止"
130,乍,"at first; suddenly; abruptly; to spread; (of hair) to stand on end; bristling",,
131,乎,"(classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)",,
132,乏,"short of; tired",ideographic,"A foot 之 running into a wall or barrier 丿"
133,乑,"to stand side by side; variant of 眾|众[zhong4]",,
134,乒,"(onom.) ping; bing",ideographic,"A ball bouncing back and forth; compare 乓"
135,乓,"(onom.) bang",ideographic,"A ball bouncing back and forth; compare 乒"
136,乖,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal",,
137,乘,"surname Cheng",ideographic,"Two feet 北 climbing a beanstalk 禾"
138,乘,"to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed",ideographic,"Two feet 北 climbing a beanstalk 禾"
139,乘,"(archaic) four horse military chariot; (archaic) four; generic term for history books",ideographic,"Two feet 北 climbing a beanstalk 禾"
140,乙,"second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; second in order; letter ""B"" or Roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc; second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5); ancient Chinese compass point: 105°",pictographic,"A swallow"
141,乙,"turning stroke (in Chinese characters), aka 折[zhe2]",pictographic,"A swallow"
142,乚,"component in Chinese characters; archaic variant of 毫[hao2]; archaic variant of 乙[yi3]",,
143,乛,"variant of 乙[zhe2]",,
144,乜,"surname Nie",,
145,乜,"used in 乜斜[mie1xie5]; (Cantonese) what?",,
146,九,"nine; 9",pictographic,"An elbow"
147,乞,"to beg",,
148,也,"surname Ye",,
149,也,"(adverb) also; both ... and ... (before predicates only); (literary) particle having functions similar to 啊[a5]",,
150,乩,"to divine",pictophonetic,"divine"
151,乳,"breast; milk",pictophonetic,"hidden"
152,乶,"(phonetic ""pol"", used in Korean place names)",pictophonetic,"second"
153,乾,"old variant of 乾[qian2]",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
154,干,"old variant of 乾|干[gan1]",pictographic,"A club or axe"
155,乾,"surname Qian",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
156,乾,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven; male principle; ☰; ancient Chinese compass point: 315° (northwest)",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
157,干,"surname Gan",pictographic,"A club or axe"
158,干,"dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; (dialect) rude; blunt; (dialect) to cold-shoulder",pictographic,"A club or axe"
159,乿,"archaic variant of 亂|乱[luan4]",,
160,乿,"archaic variant of 治[zhi4]",,
161,乾,"variant of 乾[qian2]",ideographic,"Rays 十 emanating from the 日; 乞 provides the pronunciation"
162,干,"variant of 乾|干[gan1]",pictographic,"A club or axe"
163,乱,"in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary",,
164,亅,"""vertical stroke with hook"" radical in Chinese characters (Kangxi radical 6), aka 豎鉤|竖钩[shu4gou1]",,
165,了,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",pictographic,"A child swaddled in blanklets; compare 子"
166,了,"to finish; to achieve; variant of 瞭|了[liao3]; to understand clearly",pictographic,"A child swaddled in blanklets; compare 子"
167,予,"(archaic) I; me",,
168,予,"(literary) to give",,
169,事,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]",,
170,二,"two; 2; (Beijing dialect) stupid",ideographic,"Two  parallel lines; compare 一 (one) and 三 (three)"
171,亍,"to step with the right foot (used in 彳亍[chi4chu4])",,
172,于,"surname Yu",,
173,于,"to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]",,
174,云,"(classical) to say",pictographic,"A cloud"
175,互,"mutual",ideographic,"Two hooks hooking eachother"
176,亓,"surname Qi",,
177,亓,"his; her; its; their",,
178,五,"five; 5",ideographic,"Five elements (the cross with the extra stroke) between heaven 一 and earth 一 "
179,井,"Jing, one of the 28 constellations of Chinese astronomy; surname Jing",pictographic,"A mine or well"
180,井,"a well; CL:口[kou3]; neat; orderly",pictographic,"A mine or well"
181,亘,"extending all the way across; running all the way through",ideographic,"Stretching from heaven 一 to earth 一 "
182,些,"classifier indicating a small amount or small number greater than 1: some, a few, several",pictophonetic,"two"
183,斋,"old variant of 齋|斋[zhai1]",pictophonetic,"culture"
184,亚,"Asia; Asian; Taiwan pr. [Ya3]",pictographic,"Picture of a cross-shaped house or temple"
185,亚,"second; next to; inferior; sub-; Taiwan pr. [ya3]",pictographic,"Picture of a cross-shaped house or temple"
186,亟,"urgent",,
187,亟,"repeatedly; frequently",,
188,亠,"""lid"" radical in Chinese characters (Kangxi radical 8)",,
189,亡,"to die; to lose; to be gone; to flee; deceased",ideographic,"A man 人 in a coffin; see 亾"
190,亢,"surname Kang; Kang, one of the 28 constellations",,
191,亢,"high; overbearing; excessive",,
192,交,"to hand over; to deliver; to pay (money); to turn over; to make friends; (of lines) to intersect; variant of 跤[jiao1]",ideographic,"A person with crossed (intersecting) legs"
193,亥,"12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar; ancient Chinese compass point: 330°",,
194,亦,"also",ideographic,"A man standing with arrows pointing to his armpits"
195,亨,"prosperous; henry (unit of inductance)",,
196,享,"to enjoy; to benefit; to have the use of",ideographic,"Children 子 living and eating 口 in the house 亠"
197,京,"surname Jing; Jing ethnic minority; abbr. for Beijing 北京[Bei3jing1]",pictographic,"A capital building on a hill"
198,京,"capital city of a country; big; algebraic term for a large number (old); artificial mound (old)",pictographic,"A capital building on a hill"
199,亭,"pavilion; booth; kiosk; erect",pictographic,"亠, 口, and 冖 form a picture of a pavilion; 丁 provides the pronunciation"
200,亮,"bright; light; to shine; to flash; loud and clear; to show (one's passport etc); to make public (one's views etc)",pictographic,"A lit oil lamp"
201,享,"old variant of 享[xiang3]",ideographic,"Children 子 living and eating 口 in the house 亠"
202,夜,"variant of 夜[ye4]",ideographic,"A person 亻 sneaking by under cover 亠 of night 夕"
203,亳,"name of district in Anhui; capital of Yin",,
204,亶,"surname Dan",pictophonetic,
205,亶,"sincere",pictophonetic,
206,廉,"old variant of 廉[lian2]",,
207,亹,"mountain pass; defile (archaic)",,
208,亹,"resolute",,
209,人,"person; people; CL:個|个[ge4],位[wei4]",pictographic,"The legs of a human being"
210,亻,"""person"" radical in Chinese characters (Kangxi radical 9)",ideographic,"Visual abbreviation of 人"
211,亼,"variant of 集[ji2]",,
212,亡,"old variant of 亡[wang2]",ideographic,"A man 人 in a coffin; see 亾"
213,什,"what",ideographic,"A file of ten 十 people 亻"
214,什,"ten (used in fractions, writing checks etc); assorted; miscellaneous",ideographic,"A file of ten 十 people 亻"
215,仁,"humane; kernel",ideographic,"A caring relationship between two 二 people 亻"
216,仂,"surplus; tithe",pictophonetic,
217,仃,"used in 伶仃[ling2ding1]",pictophonetic,"person"
218,仄,"to tilt; narrow; uneasy; oblique tones (in Chinese poetry)",ideographic,"A man 人 taking shelter in a lean-to 厂"
219,仆,"to fall forward; to fall prostrate",pictophonetic,"person"
220,仇,"surname Qiu",pictophonetic,"person"
221,仇,"hatred; animosity; enmity; foe; enemy; to feel animosity toward (the wealthy, foreigners etc)",pictophonetic,"person"
222,仇,"spouse; companion",pictophonetic,"person"
223,仉,"surname Zhang",,
224,今,"now; the present time; current; contemporary; this (day, year etc)",ideographic,"A mouth 亼 talking about things"
225,介,"to introduce; to lie between; between; shell; armor",ideographic,"A border 八 dividing people 人"
226,仌,"old variant of 冰[bing1]",ideographic,"Old variant of 冰 (""ice-water"")"
227,仍,"still; yet; to remain; (literary) frequently; often",pictophonetic,"then"
228,从,"variant of 從|从[cong2]",ideographic,"One person 人 following another"
229,仔,"variant of 崽[zai3]; (dialect) (bound form) young man",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
230,仔,"used in 仔肩[zi1 jian1]",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
231,仔,"(bound form) (of domestic animals or fowl) young; (bound form) fine; detailed",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
232,仕,"to serve as an official; an official; the two chess pieces in Chinese chess guarding the ""general"" or ""king"" 將|将[jiang4]",pictophonetic,"person"
233,他,"he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other",ideographic,"An additional, ""also"" 也  person 亻"
234,仗,"weaponry; to hold (a weapon); to wield; to rely on; to depend on; war; battle",pictophonetic,"person"
235,付,"surname Fu",ideographic,"To hand 寸 something over to someone 亻 "
236,付,"to pay; to hand over to; classifier for pairs or sets of things",ideographic,"To hand 寸 something over to someone 亻 "
237,仙,"immortal",pictophonetic,"person"
238,仝,"variant of 同[tong2] (used as a surname and in given names)",pictophonetic,"person"
239,仞,"(measure)",pictophonetic,
240,仟,"thousand (banker's anti-fraud numeral)",pictophonetic,"people"
241,仡,"used in 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou; Taiwan pr. [qi4]",,
242,仡,"strong; brave",,
243,代,"to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon",ideographic,"A man 亻 caught 弋 by the passing of time"
244,令,"used in 脊令[ji2 ling2]; used in 令狐[Ling2 hu2] (Taiwan pr. [ling4])",ideographic,"A person kneeling before a master 人"
245,令,"classifier for a ream of paper",ideographic,"A person kneeling before a master 人"
246,令,"to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); type of short song or poem",ideographic,"A person kneeling before a master 人"
247,以,"abbr. for Israel 以色列[Yi3 se4 lie4]",,
248,以,"to use; by means of; according to; in order to; because of; at (a certain date or place)",,
249,仨,"three (colloquial equivalent of 三個|三个)",pictophonetic,"three"
250,仫,"used in 仫佬族[Mu4 lao3 zu2], Mulao ethnic group of Guangxi",pictophonetic,"people"
251,仰,"surname Yang",ideographic,"To exalt 卬 a person 亻"
252,仰,"to face upward; to look up; to admire; to rely on",ideographic,"To exalt 卬 a person 亻"
253,仲,"surname Zhong",ideographic,"The middle 中 person 亻; 中 also provides the pronunciation"
254,仲,"second month of a season; middle; intermediate; second amongst brothers",ideographic,"The middle 中 person 亻; 中 also provides the pronunciation"
255,仳,"to part",pictophonetic,"person"
256,仵,"surname Wu",pictophonetic,
257,仵,"equal; well-matched; to violate",pictophonetic,
258,件,"item; component; classifier for events, things, clothes etc",ideographic,"A man 亻 dividing up a cow 牛"
259,任,"surname Ren; Ren County 任縣|任县[Ren2 Xian4] in Hebei",pictophonetic,"person"
260,任,"to assign; to appoint; to take up a post; office; responsibility; to let; to allow; to give free rein to; no matter (how, what etc); classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",pictophonetic,"person"
261,份,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]",ideographic,"The lot or portion 分 allotted to a man 亻"
262,仿,"to imitate; to copy",pictophonetic,"to imitate a person"
263,企,"(bound form) to stand on tiptoe and look; to anticipate; to look forward to; abbr. for 企業|企业[qi3ye4]; Taiwan pr. [qi4]",ideographic,"A man 人 on his feet 止; 止 also provides the pronunciation"
264,伄,"used in 伄儅[diao4 dang1]",pictophonetic,"person"
265,伉,"spouse; big and tall; strong; robust; upright and outspoken",pictophonetic,"person"
266,伊,"surname Yi; abbr. for 伊拉克[Yi1la1ke4], Iraq; abbr. for 伊朗[Yi1lang3], Iran",pictophonetic,"person"
267,伊,"(old) third person singular pronoun (""he"" or ""she""); second person singular pronoun (""you""); (May 4th period) third person singular feminine pronoun (""she""); (Classical Chinese) introductory particle with no specific meaning; that (preceding a noun)",pictophonetic,"person"
268,伍,"surname Wu",ideographic,"Five 五 people 亻; 五 also provides the pronunciation"
269,伍,"squad of five soldiers; to associate with; five (banker's anti-fraud numeral)",ideographic,"Five 五 people 亻; 五 also provides the pronunciation"
270,伎,"artistry; talent; skill; (in ancient times) female entertainer",ideographic,"A man 亻 who can support 支 someone"
271,伏,"surname Fu",ideographic,"A person 亻 acting like a dog 犬"
272,伏,"to lean over; to fall (go down); to hide (in ambush); to conceal oneself; to lie low; hottest days of summer; to submit; to concede defeat; to overcome; to subdue; volt",ideographic,"A person 亻 acting like a dog 犬"
273,伐,"to cut down; to fell; to dispatch an expedition against; to attack; to boast; Taiwan pr. [fa1]",ideographic,"A person 亻 attacked 戈"
274,休,"surname Xiu",ideographic,"A person 亻 leaning against a tree 木"
275,休,"to rest; to stop doing sth for a period of time; to cease; (imperative) don't",ideographic,"A person 亻 leaning against a tree 木"
276,伕,"variant of 夫[fu1]",ideographic,"A working 夫 man 亻; 夫 also provides the pronunciation"
277,伙,"meals (abbr. for 伙食[huo3 shi2]); variant of 夥|伙[huo3]",pictophonetic,"person"
278,伢,"(dialect) child",pictophonetic,"person"
279,伯,"variant of 霸[ba4]",pictophonetic,"person"
280,伯,"one hundred (old)",pictophonetic,"person"
281,伯,"father's elder brother; senior; paternal elder uncle; eldest of brothers; respectful form of address; Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",pictophonetic,"person"
282,估,"to estimate",pictophonetic,"person"
283,估,"used in 估衣[gu4yi5]",pictophonetic,"person"
284,伲,"variant of 你[ni3]",pictophonetic,"people"
285,伲,"(dialect) I; my; we; our",pictophonetic,"people"
286,伴,"partner; companion; comrade; associate; to accompany",pictophonetic,"person"
287,伶,"(old) actor; actress; (meaningless bound form)",pictophonetic,"person"
288,伸,"to stretch; to extend",ideographic,"To extend your confidence 申 to another person 亻; 申 also provides the pronunciation"
289,伺,"used in 伺候[ci4hou5]",pictophonetic,"person"
290,伺,"to watch; to wait; to examine; to spy",pictophonetic,"person"
291,似,"used in 似的[shi4de5]",ideographic,"One person 亻 resembles another"
292,似,"to seem; to appear; to resemble; similar; -like; pseudo-; (more) than",ideographic,"One person 亻 resembles another"
293,伽,"traditionally used as phonetic for ""ga""; also pr. [ga1]; also pr. [qie2]",pictophonetic,"person"
294,伾,"multitudinous; powerful",ideographic,"A great 丕 man 亻; 丕 also provides the pronunciation"
295,似,"old variant of 似[si4]",ideographic,"One person 亻 resembles another"
296,佃,"to rent farmland from a landlord",ideographic,"A person 亻 on the farm 田; 田 also provides the pronunciation"
297,佃,"to cultivate; to hunt",ideographic,"A person 亻 on the farm 田; 田 also provides the pronunciation"
298,但,"but; yet; however; still; merely; only; just",pictophonetic,
299,伫,"to stand for a long time; to wait; to look forward to; to accumulate",,
300,布,"variant of 布[bu4]; to announce; to spread",ideographic,"Cloth 巾 held in a hand"
301,佉,"surname Qu",pictophonetic,"person"
302,位,"position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential",ideographic,"The place where a person 亻 stands 立"
303,低,"low; beneath; to lower (one's head); to let droop; to hang down; to incline",pictophonetic,
304,住,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)",ideographic,"A person 亻 who hosts 主; 主 also provides the pronunciation"
305,佐,"to assist; assistant; aide; to accompany",pictophonetic,"person"
306,佑,"(bound form) to bless; to protect",pictophonetic,"person"
307,占,"variant of 占[zhan4]",ideographic,"To speak 口 omens ⺊"
308,何,"surname He",,
309,何,"what; how; why; which; carry",,
310,佗,"carry on the back",ideographic,"Another 它 person 亻; see 他 and 她 for modern variants"
311,佘,"surname She",pictophonetic,"person"
312,余,"surname Yu",,
313,余,"(literary) I; me; variant of 餘|余[yu2]",,
314,佚,"surname Yi",ideographic,"To lose 失 a person 亻"
315,佚,"old variant of 迭[die2]",ideographic,"To lose 失 a person 亻"
316,佚,"lost; missing; forsaken; dissolute; (of a woman) beautiful; fault; offense; hermit; variant of 逸[yi4]",ideographic,"To lose 失 a person 亻"
317,佛,"Buddha; Buddhism (abbr. for 佛陀[Fo2tuo2])",pictophonetic,"person"
318,作,"(bound form) worker; (bound form) workshop; (slang) troublesome; high-maintenance (person)",ideographic,"A person 亻 making something for the first time 乍; 乍 also provides the pronunciation"
319,作,"to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works",ideographic,"A person 亻 making something for the first time 乍; 乍 also provides the pronunciation"
320,佝,"used in 佝僂|佝偻[gou1 lou2]",,
321,佝,"used in 佝瞀[kou4mao4]",,
322,佞,"to flatter; flattery",ideographic,"Kindness 仁 toward a woman 女"
323,佟,"surname Tong",pictophonetic,"person"
324,你,"you (informal, as opposed to courteous 您[nin2])",ideographic,"Pronoun 尔 for a person 亻"
325,佣,"commission (for middleman); brokerage fee",ideographic,"An employed 用 person 亻; 用 also provides the pronunciation"
326,佤,"Wa, Kawa or Va ethnic group of Myanmar, south China and southeast Asia",pictophonetic,"people"
327,佧,"ancient name for an ethnic group in China",pictophonetic,"people"
328,佩,"to respect; to wear (belt etc)",ideographic,"Common 凡 cloth 巾 ornaments worn by people 亻"
329,佬,"male; man (Cantonese)",ideographic,"An old 老 person 亻; 老 also provides the pronunciation"
330,佯,"to feign; to pretend",pictophonetic,"person"
